Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
4932352206;Metallbohrer HSS-G kurz DIN 1897 3,7 x 52 mm, HSS-G kurz Milwaukee;2;1,8;7,4;0,04;4633FF
4932352207;Metallbohrer HSS-G kurz DIN 1897 4,0 x 55 mm, HSS-G kurz Milwaukee;7,3;1,8;1,8;0,05;4634FF
4932352208;Metallbohrer HSS-G kurz DIN 1897 4,2 x 55 mm, HSS-G kurz Milwaukee;7,5;1,8;0,2;0,04;4635FF
4932352209;Metallbohrer HSS-G kurz DIN 1897 4,5 x 58 mm, HSS-G kurz Milwaukee;2,8;2,6;9,8;0,06;4636FF
4932352210;Metallbohrer HSS-G kurz DIN 1897 4,8 x 62 mm, HSS-G kurz Milwaukee;10,5;2,5;2,5;0,08;4637FF
4932352211;Metallbohrer HSS-G kurz DIN 1897 5,0 x 62 mm, HSS-G kurz Milwaukee;9,8;2,6;2,7;0,08;4638FF
4932352212;Metallbohrer HSS-G kurz DIN 1897 5,2 x 62 mm, HSS-G kurz Milwaukee;9,7;2,5;2,7;0,1;4639FF
4932352213;Metallbohrer HSS-G kurz DIN 1897 5,5 x 66 mm, HSS-G kurz Milwaukee;10,5;2,5;2,5;0,11;4640FF
4932352214;Metallbohrer HSS-G kurz DIN 1897 6,0 x 66 mm, HSS-G kurz Milwaukee;9,6;2,5;2,7;0,14;4641FF
4932352215;Metallbohrer HSS-G kurz DIN 1897 6,5 x 70 mm, HSS-G kurz Milwaukee;2,7;9,8;2,5;0,16;4642FF
4932352216;Metallbohrer HSS-G kurz DIN 1897 7,0 x 74 mm, HSS-G kurz Milwaukee;47;3;2,7;0,1;4643FF
4932352217;Metallbohrer HSS-G kurz DIN 1897 7,5 x 74 mm, HSS-G kurz Milwaukee;9,7;2,5;2,7;0,12;4644FF
4932352218;Metallbohrer HSS-G kurz DIN 1897 8,0 x 79 mm, HSS-G kurz Milwaukee;12,5;3;3;0,15;4645FF
4932352219;Metallbohrer HSS-G kurz DIN 1897 8,5 x 79 mm, HSS-G kurz Milwaukee;12,4;3;3,2;0,16;4646FF
4932352220;Metallbohrer HSS-G kurz DIN 1897 9,0 x 84 mm, HSS-G kurz Milwaukee;13,2;3;3,2;0,18;4647FF
4932352221;Metallbohrer HSS-G kurz DIN 1897 10,0 x 89 mm, HSS-G kurz Milwaukee;3,2;3;12,4;0,22;4648FF
4932352222;Metallbohrer HSS-G Doppelend 2,5 x 43 mm, HSS-G Doppelend Milwaukee;7,5;1,8;1,9;0,02;4649FF
4932352223;Metallbohrer HSS-G Doppelend 3,0 x 46 mm, HSS-G Doppelend Milwaukee;7,3;1,8;1,8;0,02;4650FF
4932352224;Metallbohrer HSS-G Doppelend 3,2 x 49 mm, HSS-G Doppelend Milwaukee;1,9;1,8;7,4;0,02;4651FF
4932352225;Metallbohrer HSS-G Doppelend 3,3 x 49 mm, HSS-G Doppelend Milwaukee;1,9;1,8;7,4;0,02;4652FF
4932352226;Metallbohrer HSS-G Doppelend 3,5 x 52 mm, HSS-G Doppelend Milwaukee;1,9;1,8;7,4;0,04;4653FF
4932352227;Metallbohrer HSS-G Doppelend 4,0 x 55 mm, HSS-G Doppelend Milwaukee;1,7;1,7;7,5;0,05;4654FF
4932352228;Metallbohrer HSS-G Doppelend 4,1 x 55 mm, HSS-G Doppelend Milwaukee;7,4;1,8;1,9;0,06;4655FF
4932352229;Metallbohrer HSS-G Doppelend 4,2 x 55 mm, HSS-G Doppelend Milwaukee;0,2;1,8;7,5;0,04;4656FF
4932352230;Metallbohrer HSS-G Doppelend 4,5 x 58 mm, HSS-G Doppelend Milwaukee;9,7;2,5;2,5;0,07;4657FF
4932352231;Metallbohrer HSS-G Doppelend 4,8 x 62 mm, HSS-G Doppelend Milwaukee;2,7;2,6;9,8;0,08;4658FF
4932352232;Metallbohrer HSS-G Doppelend 5,0 x 62 mm, HSS-G Doppelend Milwaukee;2,7;2,6;9,8;0,1;4659FF
4932352233;Metallbohrer HSS-G Doppelend 5,5 x 66 mm, HSS-G Doppelend Milwaukee;10,4;2,5;2,7;0,1;4660FF
4932352234;Metallbohrer HSS-G Doppelend 6,0 x 66 mm, HSS-G Doppelend Milwaukee;2,7;2,6;9,8;0,14;4661FF
4932363444;Metallbohrer HSS-R DIN 338  10er Pack 1,0 x 34 mm, HSS-R Milwaukee;8;1,8;1,8;0,01;4662FF
4932363449;Metallbohrer HSS-R DIN 338  10er Pack 1,5 x 40 mm, HSS-R Milwaukee;7,3;1,7;1,9;0,01;4663FF
4932363454;Metallbohrer HSS-R DIN 338  10er Pack 2,0 x 49 mm, HSS-R Milwaukee;7,5;1,7;1,7;0,02;4664FF
4932363459;Metallbohrer HSS-R DIN 338  10er Pack 2,5 x 57 mm, HSS-R Milwaukee;7,5;1,5;1,5;0,02;4665FF
4932363464;Metallbohrer HSS-R DIN 338  10er Pack 3,0 x 61 mm, HSS-R Milwaukee;7,5;1,7;1,7;0,03;4666FF
4932363466;Metallbohrer HSS-R DIN 338  10er Pack 3,2 x 65 mm, HSS-R Milwaukee;2;2;8;0,03;4667FF
4932363469;Metallbohrer HSS-R DIN 338  10er Pack 3,5 x 70 mm, HSS-R Milwaukee;8;1;1;0,04;4668FF
4932363474;Metallbohrer HSS-R DIN 338  10er Pack 4,0 x 75 mm, HSS-R Milwaukee;8,8;1,7;2;0,04;4669FF
4932363476;Metallbohrer HSS-R DIN 338  10er Pack 4,2 x 75 mm, HSS-R Milwaukee;9;1,7;1,7;0,05;4670FF
4932363479;Metallbohrer HSS-R DIN 338  10er Pack 4,5 x 80 mm, HSS-R Milwaukee;10;10;25;0,07;4671FF
4932363482;Metallbohrer HSS-R DIN 338  10er Pack 4,8 x 86 mm, HSS-R Milwaukee;2,5;11;2,5;0,08;4672FF
4932363484;Metallbohrer HSS-R DIN 338  10er Pack 5,0 x 86 mm, HSS-R Milwaukee;9;5,5;0,6;0,09;4673FF
4932363489;Metallbohrer HSS-R DIN 338  10er Pack 5,5 x 93 mm, HSS-R Milwaukee;12;2,5;2,5;0,11;4674FF
4932363494;Metallbohrer HSS-R DIN 338  10er Pack 6,0 x 93 mm, HSS-R Milwaukee;2,5;11,5;2,5;0,13;4675FF
4932363499;Metallbohrer HSS-R DIN 338  10er Pack 6,5 x 101 mm, HSS-R Milwaukee;12,5;8,5;0,8;0,17;4676FF
4932363502;Metallbohrer HSS-R DIN 338  10er Pack 6,8 x 109 mm, HSS-R Milwaukee;13;3;3;0,2;4677FF
4932363504;Metallbohrer HSS-R DIN 338  10er Pack 7,0 x 109 mm, HSS-R Milwaukee;13;3;3;0,21;4678FF
4932363509;Metallbohrer HSS-R DIN 338  10er Pack 7,5 x 109 mm, HSS-R Milwaukee;12,5;8,5;0,9;0,28;4679FF
4932363514;Metallbohrer HSS-R DIN 338  10er Pack 8,0 x 117 mm, HSS-R Milwaukee;3,7;14;3,7;0,3;4680FF
4932363519;Metallbohrer HSS-R DIN 338  10er Pack 8,5 x 117 mm, HSS-R Milwaukee;3,8;3,8;13,9;0,32;4681FF
4932363524;Metallbohrer HSS-R DIN 338  10er Pack 9,0 x 125 mm, HSS-R Milwaukee;14,5;3,8;3,8;0,4;4682FF
4932363529;Metallbohrer HSS-R DIN 338  10er Pack 9,5 x 125 mm, HSS-R Milwaukee;14,8;3,8;4;0,44;4683FF
4932363534;Metallbohrer HSS-R DIN 338  10er Pack 10,0 x 133 mm, HSS-R Milwaukee;4;15,5;3,8;0,5;4684FF
4932363539;Metallbohrer HSS-R DIN 338  5er Pack 10,5 x 133 mm, HSS-R Milwaukee;15;3,5;3,5;0,28;4685FF
4932363544;Metallbohrer HSS-R DIN 338  5er Pack 11,0 x 142 mm, HSS-R Milwaukee;40;17;40;0,32;4686FF
4932363549;Metallbohrer HSS-R DIN 338  5er Pack 11,5 x 142 mm, HSS-R Milwaukee;4;16;4;0,36;4687FF
4932363554;Metallbohrer HSS-R DIN 338  5er Pack 12,0 x 151 mm, HSS-R Milwaukee;17,5;3,5;3,5;0,41;4688FF
4932363559;Metallbohrer HSS-R DIN 338  5er Pack 12,5 x 151 mm, HSS-R Milwaukee;17,5;3,7;3,7;0,44;4689FF
4932363564;Metallbohrer HSS-R DIN 338  5er Pack 13,0 x 151 mm, HSS-R Milwaukee;17;7,5;1,4;0,46;4690FF
4932352468;Metallbohrerkassette HSS-R DIN 338 HSS-R 19 tlg. Kassette Milwaukee;11,3;3,6;15,2;0,62;4691FF
4932352469;Metallbohrerkassette HSS-R DIN 338 HSS-R 25 tlg. Kassette Milwaukee;11,2;5,4;19,7;1,23;4692FF
4932373318;Metallbohrer HSS-R reduzierter Schaft 13,5 x 160 mm, HSS-R Milwaukee;20;4;2;0,12;4693FF
4932373319;Metallbohrer HSS-R reduzierter Schaft 14 x 160 mm, HSS-R Milwaukee;20;4;2;0,12;4694FF
4932373320;Metallbohrer HSS-R reduzierter Schaft 14,5 x 169 mm, HSS-R Milwaukee;24,4;4;2,2;0,14;4695FF
4932373321;Metallbohrer HSS-R reduzierter Schaft 15 x 169 mm, HSS-R Milwaukee;24,6;3,4;24,6;0,15;4696FF
4932373322;Metallbohrer HSS-R reduzierter Schaft 15,5 x 178 mm, HSS-R Milwaukee;24;4;2;0,16;4697FF
4932373323;Metallbohrer HSS-R reduzierter Schaft 16 x 178 mm, HSS-R Milwaukee;24,5;4;2;0,17;4698FF
4932373324;Metallbohrer HSS-R reduzierter Schaft 16,5 x 184 mm, HSS-R Milwaukee;24,5;4;2,5;0,2;4699FF
4932373325;Metallbohrer HSS-R reduzierter Schaft 17 x 184 mm, HSS-R Milwaukee;4;24,5;4;0,21;4700FF
4932373326;Metallbohrer HSS-R reduzierter Schaft 17,5 x 191 mm, HSS-R Milwaukee;24,5;4;2,5;0,22;4701FF
4932373327;Metallbohrer HSS-R reduzierter Schaft 18 x 191 mm, HSS-R Milwaukee;24,3;3,6;2,7;0,24;4702FF
4932373328;Metallbohrer HSS-R reduzierter Schaft 18,5 x 198 mm, HSS-R Milwaukee;24,5;4;2,5;0,25;4703FF
4932373329;Metallbohrer HSS-R reduzierter Schaft 19 x 198 mm, HSS-R Milwaukee;24,5;4;24,5;0,28;4704FF
4932373330;Metallbohrer HSS-R reduzierter Schaft 19,5 x 205 mm, HSS-R Milwaukee;24,5;4;2,5;0,29;4705FF
4932373331;Metallbohrer HSS-R reduzierter Schaft 20 x 205 mm, HSS-R Milwaukee;24,5;4;4;0,31;4706FF
4932352674;Metallbohrer Kabinett HSS-R 345-teilig Milwaukee;39;22,8;26,4;9,26;4707FF
4932498261;"SHOCKWAVE 
Kombi-Gewindebohrer HSS-G 1/4"" Hex M3 x 52 mm Milwaukee";13;4;2;0,01;4708FF
4932498262;"SHOCKWAVE 
Kombi-Gewindebohrer HSS-G 1/4"" Hex M4 x 52 mm Milwaukee";13;4;2;0,01;4709FF
4932498263;"SHOCKWAVE 
Kombi-Gewindebohrer HSS-G 1/4"" Hex M5 x 57 mm Milwaukee";13;2;2;0,02;4710FF
4932498264;"SHOCKWAVE 
Kombi-Gewindebohrer HSS-G 1/4"" Hex M6 x 57 mm Milwaukee";13;4;2;0,02;4711FF
4932498265;"SHOCKWAVE 
Kombi-Gewindebohrer HSS-G 1/4"" Hex M8 x 57 mm Milwaukee";13;4;2;0,02;4712FF
4932498266;"SHOCKWAVE 
Kombi-Gewindebohrer HSS-G 1/4"" Hex M10 x 58 mm Milwaukee";13;4;2;0,02;4713FF
4932498267;"SHOCKWAVE  Kombi-
Gewindebohrer 1/4"" Hex 6-tlg. Set in PACKOUT kompatibler Box Milwaukee";23,8;35,6;4;0,15;4714FF
48899372;Cobalt Stufenbohrer 4 bis 20 mm, 2 mm Stufen Milwaukee;16,2;7,2;2,8;0,06;4715FF
48899395;Cobalt Stufenbohrer 6 bis 35 mm, 2 mm & 3 mm Stufen Milwaukee;7,3;16,1;4,4;0,2;4716FF
48899380;Cobalt Stufenbohrer M6-M32 Milwaukee;16,2;7,3;4;0,18;4717FF
48899398;Cobalt Stufenbohrer Set 2-teiliges Set Milwaukee;22,2;26,4;5,8;0,53;4718FF
48899261;SHOCKWAVE Stufenbohrer 4 bis 12 mm, 1 mm Stufen Milwaukee;17;7,5;0,5;0,05;4719FF
48899262;SHOCKWAVE Stufenbohrer 4 bis 12 mm, 2 mm Stufen Milwaukee;16,3;7,6;1,8;0,04;4720FF
48899263;SHOCKWAVE Stufenbohrer 4 bis 20 mm, 2 mm Stufen Milwaukee;16,4;7,4;2,4;0,06;4721FF
48899265;SHOCKWAVE Stufenbohrer 4 bis 30 mm, 2 mm & 3 mm Stufen Milwaukee;16,4;7,7;3;0,16;4722FF
48899266;SHOCKWAVE Stufenbohrer Set 3-teiliges Set Milwaukee;65;22,5;20,5;0,45;4723FF
48899321;Stufenbohrer PG7-PG21 Milwaukee;16,3;7,6;3,6;0,12;4724FF
48899332;Stufenbohrer M6-M32 Milwaukee;16,2;7,6;4,1;0,18;4725FF
48899301;Stufenbohrer 4 bis 12 mm, 1 mm Stufen Milwaukee;16,3;7,4;1,9;0,04;4726FF
48899320;Stufenbohrer 4 bis 20 mm, 2 mm Stufen Milwaukee;16,3;7,5;2,8;0,06;4727FF
48899335;Stufenbohrer 6 bis 35 mm, 2 mm & 3 mm Stufen Milwaukee;16;7;4;0,2;4728FF
48899340;Stufenbohrer 6 bis 40,5 mm, 1,5-3 mm Stufen Milwaukee;5;7,5;16,2;0,26;4729FF
48899399;Stufenbohrer Set 3-teiliges Set Milwaukee;24,9;26,3;9,7;0,62;4730FF
48899350;Stufenbohrer- und Metallbohrerset 10-teiliges Set Milwaukee;22,6;20,3;5,7;0,36;4731FF
4932371740;HSS Kernlochbohrer, kurz 12 x 30 mm Milwaukee;11;3,5;3,5;0,08;4732FF
4932371741;HSS Kernlochbohrer, kurz 13 x 30 mm Milwaukee;11;3,5;3,5;0,08;4733FF
4932343270;HSS Kernlochbohrer, kurz 14 x 30 mm Milwaukee;11;3,5;3,5;0,09;4734FF
4932343271;HSS Kernlochbohrer, kurz 15 x 30 mm Milwaukee;10,7;3,6;3,8;0,1;4735FF
4932343272;HSS Kernlochbohrer, kurz 16 x 30 mm Milwaukee;11;3,5;3,5;0,1;4736FF
4932343273;HSS Kernlochbohrer, kurz 17 x 30 mm Milwaukee;10,8;3,6;3,8;0,1;4737FF
4932343274;HSS Kernlochbohrer, kurz 18 x 30 mm Milwaukee;3,8;3,5;10,6;0,1;4738FF
4932343275;HSS Kernlochbohrer, kurz 19 x 30 mm Milwaukee;2;2;7,5;0,1;4739FF
4932343276;HSS Kernlochbohrer, kurz 20 x 30 mm Milwaukee;9;4,7;4,7;0,11;4740FF
4932343277;HSS Kernlochbohrer, kurz 21 x 30 mm Milwaukee;2,2;2,2;7,5;0,11;4741FF
4932343278;HSS Kernlochbohrer, kurz 22 x 30 mm Milwaukee;10,7;3,6;3,8;0,12;4742FF
4932343279;HSS Kernlochbohrer, kurz 23 x 30 mm Milwaukee;10,7;3,6;3,8;0,12;4743FF
4932343280;HSS Kernlochbohrer, kurz 24 x 30 mm Milwaukee;10,7;3,5;3,8;0,12;4744FF
4932343281;HSS Kernlochbohrer, kurz 25 x 30 mm Milwaukee;10,8;3,5;3,8;0,12;4745FF
4932343282;HSS Kernlochbohrer, kurz 26 x 30 mm Milwaukee;10,8;3,5;3,8;0,14;4746FF
4932343283;HSS Kernlochbohrer, kurz 27 x 30 mm Milwaukee;10,7;3,6;3,8;0,14;4747FF
4932343284;HSS Kernlochbohrer, kurz 28 x 30 mm Milwaukee;3,2;3,2;7,5;0,15;4748FF
4932343285;HSS Kernlochbohrer, kurz 29 x 30 mm Milwaukee;3,2;3,2;7,5;0,15;4749FF
4932343286;HSS Kernlochbohrer, kurz 30 x 30 mm Milwaukee;10,8;3,6;3,8;0,16;4750FF
4932343287;HSS Kernlochbohrer, kurz 31 x 30 mm Milwaukee;10,7;3,5;3,8;0,16;4751FF
4932343288;HSS Kernlochbohrer, kurz 32 x 30 mm Milwaukee;3,2;3,2;7,5;0,17;4752FF
4932371742;HSS Kernlochbohrer, kurz 33 x 30 mm Milwaukee;11;5;5;0,18;4753FF
4932371743;HSS Kernlochbohrer, kurz 34 x 30 mm Milwaukee;5,1;5;11;0,19;4754FF
4932371744;HSS Kernlochbohrer, kurz 35 x 30 mm Milwaukee;5;5,1;11,2;0,19;4755FF
4932371745;HSS Kernlochbohrer, kurz 36 x 30 mm Milwaukee;11;5;5;0,19;4756FF
4932371746;HSS Kernlochbohrer, kurz 37 x 30 mm Milwaukee;4;4;7,5;0,21;4757FF
4932371747;HSS Kernlochbohrer, kurz 38 x 30 mm Milwaukee;5;5;10,9;0,2;4758FF
4932371748;HSS Kernlochbohrer, kurz 39 x 30 mm Milwaukee;5;5;11;0,21;4759FF
4932371749;HSS Kernlochbohrer, kurz 40 x 30 mm Milwaukee;10,9;5,3;5,1;0,21;4760FF
4932371750;HSS Kernlochbohrer, kurz 41 x 30 mm Milwaukee;5;5;11;0,22;4761FF
4932371751;HSS Kernlochbohrer, kurz 42 x 30 mm Milwaukee;4,5;4,5;7,5;0,25;4762FF
4932371752;HSS Kernlochbohrer, kurz 43 x 30 mm Milwaukee;4,5;4,5;7,5;0,02;4763FF
4932371753;HSS Kernlochbohrer, kurz 44 x 30 mm Milwaukee;5;5,1;10,8;0,23;4764FF
4932371754;HSS Kernlochbohrer, kurz 45 x 30 mm Milwaukee;11;5;5,1;0,24;4765FF
4932371755;HSS Kernlochbohrer, kurz 46 x 30 mm Milwaukee;6;6;12;0,24;4766FF
4932371756;HSS Kernlochbohrer, kurz 47 x 30 mm Milwaukee;6;6;12;0,26;4767FF
4932371757;HSS Kernlochbohrer, kurz 48 x 30 mm Milwaukee;5,5;5,5;7,5;0,35;4768FF
4932371758;HSS Kernlochbohrer, kurz 49 x 30 mm Milwaukee;6;6;12;0,26;4769FF
4932371759;HSS Kernlochbohrer, kurz 50 x 30 mm Milwaukee;11,6;6;6;0,28;4770FF
4932343289;HSS Kernlochbohrer, lang 14 x 50 mm Milwaukee;11,1;3,5;3,8;0,1;4771FF
4932343290;HSS Kernlochbohrer, lang 15 x 50 mm Milwaukee;2;2;9;0,1;4772FF
4932343291;HSS Kernlochbohrer, lang 16 x 50 mm Milwaukee;2;2;9;0,1;4773FF
4932343292;HSS Kernlochbohrer, lang 17 x 50 mm Milwaukee;3,6;3,6;11,4;0,12;4774FF
4932343293;HSS Kernlochbohrer, lang 18 x 50 mm Milwaukee;11;3,5;3,5;0,15;4775FF
4932343294;HSS Kernlochbohrer, lang 19 x 50 mm Milwaukee;11;3,5;3,5;0,15;4776FF
4932343295;HSS Kernlochbohrer, lang 20 x 50 mm Milwaukee;11,1;3,4;3,8;0,14;4777FF
4932343296;HSS Kernlochbohrer, lang 21 x 50 mm Milwaukee;11,2;3,5;3,8;0,14;4778FF
4932343297;HSS Kernlochbohrer, lang 22 x 50 mm Milwaukee;2,2;2,2;9;0,15;4779FF
4932343298;HSS Kernlochbohrer, lang 23 x 50 mm Milwaukee;2,6;2,6;7,5;0,15;4780FF
4932343299;HSS Kernlochbohrer, lang 24 x 50 mm Milwaukee;11,1;3,6;3,8;0,16;4781FF
4932343300;HSS Kernlochbohrer, lang 25 x 50 mm Milwaukee;11,1;3,5;3,8;0,16;4782FF
4932343301;HSS Kernlochbohrer, lang 26 x 50 mm Milwaukee;2,6;2,6;9;0,16;4783FF
4932343302;HSS Kernlochbohrer, lang 27 x 50 mm Milwaukee;3,2;3,2;9;0,18;4784FF
4932343303;HSS Kernlochbohrer, lang 28 x 50 mm Milwaukee;3,2;3,2;9;0,2;4785FF
4932343304;HSS Kernlochbohrer, lang 29 x 50 mm Milwaukee;3,2;3,2;9;0,2;4786FF
4932343305;HSS Kernlochbohrer, lang 30 x 50 mm Milwaukee;3,2;3,2;9;0,19;4787FF
4932343306;HSS Kernlochbohrer, lang 31 x 50 mm Milwaukee;3,2;3,2;9;0,2;4788FF
4932343307;HSS Kernlochbohrer, lang 32 x 50 mm Milwaukee;11,2;3,6;3,6;0,21;4789FF
4932371760;HSS Kernlochbohrer, lang 33 x 50 mm Milwaukee;5;5;11,5;0,23;4790FF
4932371761;HSS Kernlochbohrer, lang 34 x 50 mm Milwaukee;5,1;5,1;11,3;0,24;4791FF
4932371762;HSS Kernlochbohrer, lang 35 x 50 mm Milwaukee;12;5;5;0,25;4792FF
4932371763;HSS Kernlochbohrer, lang 36 x 50 mm Milwaukee;4;4;9;0,25;4793FF
4932371764;HSS Kernlochbohrer, lang 37 x 50 mm Milwaukee;5;5;1,1;0,23;4794FF
4932371765;HSS Kernlochbohrer, lang 38 x 50 mm Milwaukee;4;4;9;0,3;4795FF
4932371766;HSS Kernlochbohrer, lang 39 x 50 mm Milwaukee;4;4;9;0,3;4796FF
4932371767;HSS Kernlochbohrer, lang 40 x 50 mm Milwaukee;4;4;9;0,3;4797FF
4932371768;HSS Kernlochbohrer, lang 41 x 50 mm Milwaukee;4,5;4,5;9;0,3;4798FF
4932371769;HSS Kernlochbohrer, lang 42 x 50 mm Milwaukee;4,5;4,5;9;0,29;4799FF
4932371770;HSS Kernlochbohrer, lang 43 x 50 mm Milwaukee;4,5;4,5;9;0,3;4800FF
4932371771;HSS Kernlochbohrer, lang 44 x 50 mm Milwaukee;11,7;5,1;5,4;0,32;4801FF
4932371772;HSS Kernlochbohrer, lang 45 x 50 mm Milwaukee;4,5;4,5;9;0,33;4802FF
4932371773;HSS Kernlochbohrer, lang 46 x 50 mm Milwaukee;5,5;5,5;9;0,35;4803FF
4932371774;HSS Kernlochbohrer, lang 47 x 50 mm Milwaukee;6,2;6,1;11,5;0,34;4804FF
4932371775;HSS Kernlochbohrer, lang 48 x 50 mm Milwaukee;6,2;6,1;11,4;0,36;4805FF
4932371776;HSS Kernlochbohrer, lang 49 x 50 mm Milwaukee;6,2;6,1;11,5;0,36;4806FF
4932371777;HSS Kernlochbohrer, lang 50 x 50 mm Milwaukee;11,5;6,3;6,3;0,38;4807FF
49590011;Zentrierstift 25 mm für HSS Kernlochbohrer kurz Milwaukee;14,9;4,9;1,5;0,04;4808FF
49590012;Zentrierstift 50 mm für HSS Kernlochbohrer lang Milwaukee;17,3;4,8;1,8;0,06;4809FF
4932372533;HSS Kernlochbohrer kurz Set 14/16/18/20/22/24 mm Milwaukee;24,6;20,5;6,2;0,66;4810FF
49560002;Lochsäge Bi-Metall 14 mm Hole Dozer Milwaukee;10;5,1;2,9;0,04;4811FF
49560012;Lochsäge Bi-Metall 16 mm Hole Dozer Milwaukee;10;5;2,9;0,04;4812FF
49560014;Lochsäge Bi-Metall 17 mm Hole Dozer Milwaukee;10,1;5,2;2,8;0,04;4813FF
49560023;Lochsäge Bi-Metall 19 mm Hole Dozer Milwaukee;10;5;2,9;0,04;4814FF
49560024;Lochsäge Bi-Metall 20 mm Hole Dozer Milwaukee;3;10;5;0,04;4815FF
49560027;Lochsäge Bi-Metall 21 mm Hole Dozer Milwaukee;10;5,1;2,9;0,04;4816FF
49560032;Lochsäge Bi-Metall 22 mm Hole Dozer Milwaukee;9,7;9,7;9,9;0,08;4817FF
49560037;Lochsäge Bi-Metall 24 mm Hole Dozer Milwaukee;5;10;3;0,06;4818FF
49560043;Lochsäge Bi-Metall 25 mm Hole Dozer Milwaukee;10,1;5,2;3,5;0,06;4819FF
49560047;Lochsäge Bi-Metall 27 mm Hole Dozer Milwaukee;10,1;5,2;3,4;0,06;4820FF
49560052;Lochsäge Bi-Metall 29 mm Hole Dozer Milwaukee;5,1;9,9;3,5;0,08;4821FF
49560057;Lochsäge Bi-Metall 30 mm Hole Dozer Milwaukee;10;7;4;0,09;4822FF
49560062;Lochsäge Bi-Metall 32 mm Hole Dozer Milwaukee;10,1;7,4;4,3;0,08;4823FF
49560067;Lochsäge Bi-Metall 33 mm Hole Dozer Milwaukee;7;10;4;0,09;4824FF
49560072;Lochsäge Bi-Metall 35 mm Hole Dozer Milwaukee;10,3;4,2;7,7;0,1;4825FF
49560077;Lochsäge Bi-Metall 37 mm Hole Dozer Milwaukee;10,2;7,5;4,4;0,1;4826FF
49560082;Lochsäge Bi-Metall 38 mm Hole Dozer Milwaukee;10,1;7,5;5,3;0,08;4827FF
49560087;Lochsäge Bi-Metall 40 mm Hole Dozer Milwaukee;8;6;10;0,08;4828FF
49560092;Lochsäge Bi-Metall 41 mm Hole Dozer Milwaukee;5,5;7,5;10,1;0,08;4829FF
49560097;Lochsäge Bi-Metall 43 mm Hole Dozer Milwaukee;5,6;7,8;10,3;0,1;4830FF
49560102;Lochsäge Bi-Metall 44 mm Hole Dozer Milwaukee;10;8;6;0,1;4831FF
49560107;Lochsäge Bi-Metall 46 mm Hole Dozer Milwaukee;10,1;7,5;5,8;0,1;4832FF
49560112;Lochsäge Bi-Metall 48 mm Hole Dozer Milwaukee;10,1;7,7;5,8;0,1;4833FF
49560113;Lochsäge Bi-Metall 50 mm Hole Dozer Milwaukee;75;10,1;5,8;0,12;4834FF
49560117;Lochsäge Bi-Metall 51 mm Hole Dozer Milwaukee;10,2;7,7;5,3;0,12;4835FF
49560122;Lochsäge Bi-Metall 52 mm Hole Dozer Milwaukee;12,5;10,1;5,7;0,14;4836FF
49560127;Lochsäge Bi-Metall 54 mm Hole Dozer Milwaukee;12,5;9,9;5,7;0,14;4837FF
49560129;Lochsäge Bi-Metall 56 mm Hole Dozer Milwaukee;12,5;10;5,7;0,14;4838FF
49560132;Lochsäge Bi-Metall 57 mm Hole Dozer Milwaukee;12,7;10,2;5,7;0,16;4839FF
49560137;Lochsäge Bi-Metall 59 mm Hole Dozer Milwaukee;12,7;10,1;5,7;0,16;4840FF
49560142;Lochsäge Bi-Metall 60 mm Hole Dozer Milwaukee;12,8;10,2;5,5;0,17;4841FF
49560147;Lochsäge Bi-Metall 64 mm Hole Dozer Milwaukee;10,1;5,1;12,7;0,18;4842FF
49560153;Lochsäge Bi-Metall 65 mm Hole Dozer Milwaukee;10;5;12;0,2;4843FF
49560158;Lochsäge Bi-Metall 67 mm Hole Dozer Milwaukee;12,7;5,4;10,2;0,2;4844FF
49560159;Lochsäge Bi-Metall 68 mm Hole Dozer Milwaukee;12,7;10,2;5,7;0,22;4845FF
49560163;Lochsäge Bi-Metall 70 mm Hole Dozer Milwaukee;12,7;5,5;10,2;0,21;4846FF
49560167;Lochsäge Bi-Metall 73 mm Hole Dozer Milwaukee;12,6;9,9;5,7;0,24;4847FF
49560173;Lochsäge Bi-Metall 76 mm Hole Dozer Milwaukee;15,2;5,8;12,8;0,26;4848FF
49560177;Lochsäge Bi-Metall 79 mm Hole Dozer Milwaukee;5,8;12,7;15,4;0,28;4849FF
49560183;Lochsäge Bi-Metall 83 mm Hole Dozer Milwaukee;15,1;12,6;5,6;0,29;4850FF
49560187;Lochsäge Bi-Metall 86 mm Hole Dozer Milwaukee;15;12,6;6;0,32;4851FF
49560193;Lochsäge Bi-Metall 89 mm Hole Dozer Milwaukee;15,3;5,7;12,7;0,33;4852FF
49560197;Lochsäge Bi-Metall 92 mm Hole Dozer Milwaukee;15,2;5,8;12,2;0,35;4853FF
49560203;Lochsäge Bi-Metall 95 mm Hole Dozer Milwaukee;15;6;15;0,39;4854FF
49560207;Lochsäge Bi-Metall 98 mm Hole Dozer Milwaukee;17,1;12,6;6;0,4;4855FF
49560213;Lochsäge Bi-Metall 102 mm Hole Dozer Milwaukee;17,8;5,8;15,4;0,43;4856FF
49560217;Lochsäge Bi-Metall 105 mm Hole Dozer Milwaukee;17,8;6,1;15;0,46;4857FF
49560223;Lochsäge Bi-Metall 108 mm Hole Dozer Milwaukee;17,5;15,4;5,6;0,48;4858FF
