Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
03-0010;Hydraulischer Stemmhammer Abruchhammer für Minibagger;120;60;80;50;0082FF
02-0056;HLP 46 Hydraulic ÖL 5 Liter;25;20;35;2;0083FF
02-0039;2 Säulen Hebebühne Halbautom. 3.5 t Profi Line RTH-2350M;290;60;110;550;0084FF
02-0040;Pneumatischer Wagenheber 3.0 t | 3 Luftkissen | Hub 140-400 mm;0;0;0;18;0085FF
02-0469;Kettenbagger 2.5 T - Bagger 21 PS Diesel;395;150;250;2500;0086FF
01-0086;RETTER RTK 9181 Wagenheber 4 t Doppelkolben Hydraulik 75mm - 620 mm Extra Flach;0;0;0;30;0087FF
13533;Gabel-Ringschlüsselsatz 25 tlg.  6 - 32 mm;0;0;0;10;0088FF
20564;Steckschlüssel-Einsatz-Set 12,5 (1/2),in Zollgrößen, 10-tlg. CV;0;0;0;5;0089FF
02-0079;RTH-2040M 2 Säulen Hebebühne 4.0 t - Trend-Line Halbautomatische Entriegelung;290;60;110;550;0090FF
02-0151;RETTER RTX-100 Werkstatt Set 9 Teile Economy Edition Schranksystem mit MDF-Massiv-Platte 2620 x 2100 x 506 mm;0;0;0;400;0091FF
02-003201;RTTX 500 Werkstatt Set mit MDF-Massiv-Platte 2840 x 2100 x 506 mm;0;0;0;500;0092FF
02-0061;"RETTER RT1102 Schlagschrauber 1/2"" Mini Hochleistungs-Druckluft-Schlagschrauber 1.300 Nm";0;0;0;1,2;0093FF
02-0390 & 02-0391;Milwaukee M18 Akku Set Schlagschrauber 1/2 Zoll & Fettpresse M18 18V;0;0;0;0;0094FF
4933459727;"Milwaukee M18  ONEFHIWF12-502X FUEL Schlagschrauber 1/2"" Vierkant Sprengring";13,5;47,5;37;0;0095FF
02-0094;RS3 Werkzeugwagen 14 Schubladen;102;46;102;60;0096FF
02-0088;R2 Werkzeugwagen Blue Tank Industrie Edition;0;0;0;0;0097FF
02-0093;RETTER RT2100+ Kompressor 100 L / 10 Bar;135;40;79;95;0098FF
02-0095;RETTER RT9008 Reifen- Montagepaste 3kg I Montagewax  + Ventildreher + Ventileinzieher + Ventilhelbel im SET;0;0;0;1;0099FF
02-0097;RT1120 Flüster Kompressor 120 L / 8 Bar;145;45;79;130;0100FF
02-0082;Werkzeugwagen R7 mit Werkzeug 310-tlg. | 7 Schubladen - RETTER Werkstattwagen Panzer Edition;71;46;100;90;0101FF
02-0098;RETTER R8 Werkzeugwagen Carbon Edition;76;47;96;97;0102FF
02-0065;Scherenhebebühne 450 kg Motorrad-Hebebühne mit Fußpumpe |  RTK9048;212;65;28;135;0103FF
02-0047-02-0033-02-0055-1;Set: Reifenmontier- RT-800 & Wuchtmaschine RT 65B & Drehmoment;0;0;0;170;0104FF
02-0109;RETTER RTW-90A Reifenwuchtmaschine;0;0;0;100;0105FF
02-0063;RETTER RT9009 Werkstattkran 2000 kg - Klappbarer Motorkran für Hebearbeiten;0;0;0;46;0106FF
04-0001;Flüster-Kompressor Ersatzteile Set Pumpe 850 W 230V;25;15;20;9;0107FF
02-0111;Profi hydraulische Werkstattpresse 20 Tonnen - RTP-20E;0;0;0;139;0108FF
02-0064;Scherenhebebühne 350 kg Motorrad-Hebebühne mit Fußpumpe RTK9050;140;70;35;100;0109FF
02-0081;KW PKW Werkstatt Rangierwagenheber Heber pneumatisch hydrauli. 22.0 t;0;0;0;30;0110FF
02-0066;Automatische Kabeltrommel RTZ-5201 15?m Strom + 1?m – Thermoschutz, Wandmontage, Schwenkbar, 230?V;0;0;0;8;0111FF
02-0116;RETTER RTN-1333 Einlage / Socket Bit 104 Teile;56,7;40,8;3,2;8;0112FF
02-0118;RETTER RTN-1341C Einlage / Socket 80 Teile Carbon Edition;56,7;40,8;3,2;8;0113FF
02-0117;RETTER RTN-1341 Einlage / Socket 80 Teile;56,7;40,8;3,2;8;0114FF
02-0119;RETTER RTN-1350 Einlage / Schlagnuss Satz 45 Teile;56,7;40,8;3,2;11;0115FF
02-0120;RETTER RTN-1480 Einlage / Steckschlüssel Satz 166 Teile;56,7;40,8;3,2;4;0116FF
02-0121;RETTER RTN-1487 Einlage / T-Griff Stechschlüssel Nuss Satz 8 Teile;56,7;40,8;3,2;4;0117FF
02-0122;"RETTER RTN-1488 Einlage / 3/4"" Steckschlüssel Satz 24 Teile";56,7;40,8;3,2;4;0118FF
02-0123;RETTER RTN-1343 Einlage / Zange und Hammer Satz 11 Teile;56,7;40,8;3,2;4;0119FF
02-0124;RETTER RTN-1478 Einlage / Reifendienst Satz 14 Teile;56,7;40,8;3,2;4;0120FF
02-0125;RETTER RTN-1479 Einlage / Zange und Hammer Satz 18 Teile;56,7;40,8;3,2;4;0121FF
02-0126;RETTER RTN-1403 Einlage / Gabelring Schlüssel mit Ratsche Satz 15 Teile;56,7;40,8;3,2;8;0122FF
